Feature,Importance
Bit_841,0.00045090527
Bit_932,0.00045023876
Bit_1173,0.00044998352
Bit_1360,0.00044829986
Bit_632,0.00044782137
Bit_1908,0.00044710617
Bit_1486,0.00044682206
Bit_193,0.00044617563
Bit_1874,0.00044609315
Bit_196,0.00044298344
Bit_361,0.00044236722
Bit_1508,0.0004413216
Bit_219,0.00044048316
Bit_815,0.0004398915
Bit_1224,0.00043986208
Bit_1825,0.000438419
Bit_1522,0.00043749108
Bit_330,0.0004374101
Bit_1887,0.00043704326
Bit_1985,0.00043628115
Bit_94,0.00043623746
Bit_29,0.00043622358
Bit_1595,0.00043621706
Bit_213,0.00043362007
Bit_174,0.0004333624
Bit_1386,0.00043151202
Bit_1960,0.00043105328
Bit_402,0.00043094173
Bit_471,0.0004303224
Bit_738,0.00042974672
Bit_1366,0.00042962236
Bit_790,0.00042887148
Bit_1295,0.00042760203
Bit_1143,0.00042502914
Bit_1705,0.00042450463
Bit_916,0.00042325002
Bit_573,0.0004221996
Bit_1879,0.00042014752
Bit_715,0.000420021
Bit_1088,0.00041771116
Bit_110,0.000417694
Bit_1884,0.00041654686
Bit_1270,0.0004154937
Bit_672,0.00041498206
Bit_810,0.0004140834
Bit_861,0.00041373482
Bit_1451,0.00041353097
Bit_446,0.0004128911
Bit_1853,0.0004106402
Bit_1831,0.00040885663
Bit_604,0.00040727216
Bit_809,0.00040720217
Bit_1704,0.0004057211
Bit_109,0.0004050745
Bit_428,0.0004045429
Bit_167,0.0004033982
Bit_364,0.00040223042
Bit_941,0.00040039964
Bit_556,0.00039956614
Bit_122,0.00039896285
Bit_888,0.00039711368
Bit_1614,0.00039651725
Bit_801,0.0003963531
Bit_769,0.00039472993
Bit_1066,0.00039431517
Bit_688,0.00039388973
Bit_590,0.00039311117
Bit_555,0.0003929198
Bit_1394,0.00039259097
Bit_1600,0.00039233247
Bit_1083,0.00039219813
Bit_678,0.00039078947
Bit_693,0.00039029095
Bit_816,0.0003894999
Bit_1617,0.00038940914
Bit_464,0.0003890474
Bit_1039,0.00038894496
Bit_1530,0.00038814356
Bit_598,0.00038762332
Bit_62,0.0003865691
Bit_574,0.00038573085
Bit_81,0.00038563393
Bit_164,0.00038548172
Bit_1063,0.00038485028
Bit_121,0.00038468657
Bit_2004,0.00038220946
Bit_412,0.0003821957
Bit_1828,0.00038142098
Bit_1909,0.0003805091
Bit_303,0.00037988363
Bit_1924,0.00037956543
Bit_692,0.0003788626
Bit_717,0.00037800055
Bit_216,0.00037758317
Bit_605,0.00037745346
Bit_16,0.00037661046
Bit_1542,0.0003765106
Bit_373,0.00037597422
Bit_786,0.00037576162
Bit_609,0.00037456048
Bit_2028,0.00037427768
Bit_1649,0.00037203194
Bit_591,0.0003708974
Bit_585,0.00037077127
Bit_866,0.00037022625
Bit_1349,0.00036862958
Bit_107,0.00036812844
Bit_922,0.00036772402
Bit_496,0.0003663111
Bit_79,0.00036591475
Bit_748,0.00036479445
Bit_1440,0.00036460083
Bit_2045,0.00036440926
Bit_1605,0.0003642983
Bit_327,0.00036415213
Bit_1567,0.00036391563
Bit_1854,0.00036291234
Bit_1730,0.00036089303
Bit_1461,0.0003603937
Bit_1652,0.0003603573
Bit_1001,0.00035931627
Bit_1638,0.00035872616
Bit_1329,0.00035743995
Bit_1734,0.00035551007
Bit_788,0.0003538615
Bit_794,0.00035318814
Bit_793,0.0003530369
Bit_991,0.0003528345
Bit_36,0.00035238347
Bit_282,0.00035179895
Bit_618,0.00035128565
Bit_933,0.00035114583
Bit_697,0.00034997574
Bit_1811,0.00034878938
Bit_1866,0.00034786353
Bit_1535,0.00034781682
Bit_1050,0.00034672613
Bit_482,0.00034451007
Bit_893,0.0003440788
Bit_65,0.00034358434
Bit_929,0.00034324775
Bit_1586,0.00034216527
Bit_1241,0.00034215965
Bit_226,0.00034199105
Bit_795,0.00034174664
Bit_1492,0.00034165822
Bit_1725,0.00034093746
Bit_501,0.0003407597
Bit_207,0.00034065684
Bit_448,0.00034059893
Bit_304,0.0003405182
Bit_1922,0.00034021394
Bit_278,0.0003400775
Bit_1435,0.00033845322
Bit_1262,0.00033810985
Bit_4,0.00033754797
Bit_1138,0.00033531516
Bit_1049,0.00033420877
Bit_465,0.00033391404
Bit_2009,0.00033356223
Bit_1443,0.00033281665
Bit_1255,0.0003321223
Bit_1804,0.0003320757
Bit_1943,0.0003320545
Bit_1769,0.00033185986
Bit_825,0.00033129856
Bit_1351,0.00033051198
Bit_1501,0.00033034684
Bit_767,0.0003299971
Bit_1658,0.00032946604
Bit_1714,0.0003291036
Bit_86,0.00032788125
Bit_1265,0.00032749944
Bit_1116,0.00032704623
Bit_456,0.00032653238
Bit_1201,0.00032629087
Bit_676,0.0003256895
Bit_638,0.00032484005
Bit_66,0.0003233883
Bit_1195,0.00032330301
Bit_318,0.0003225722
Bit_1424,0.00032255234
Bit_1415,0.00032219148
Bit_1766,0.000322153
Bit_1205,0.00032174983
Bit_259,0.0003214468
Bit_208,0.0003202456
Bit_1871,0.00031884518
Bit_56,0.00031878706
Bit_1479,0.00031809692
Bit_1261,0.00031808976
Bit_714,0.00031791543
Bit_1673,0.00031722485
Bit_1657,0.00031706673
Bit_974,0.00031623873
Bit_1645,0.00031616233
Bit_188,0.0003159715
Bit_583,0.00031547045
Bit_1812,0.0003151697
Bit_1736,0.00031514154
Bit_11,0.0003124357
Bit_5,0.00031183084
Bit_1412,0.00031023237
Bit_1817,0.00031013772
Bit_1296,0.00030978175
Bit_1085,0.00030791617
Bit_317,0.00030730834
Bit_70,0.00030691543
Bit_227,0.00030664162
Bit_1432,0.0003059587
Bit_1706,0.0003059206
Bit_1956,0.00030550107
Bit_419,0.00030451713
Bit_1245,0.000304279
Bit_237,0.00030425104
Bit_1814,0.00030395034
Bit_247,0.00030383552
Bit_892,0.0003027222
Bit_572,0.000302192
Bit_1003,0.0003016413
Bit_1025,0.00030125558
Bit_867,0.00030088497
Bit_1504,0.00030088302
Bit_1923,0.00030046672
Bit_1692,0.00029953796
Bit_1833,0.00029935993
Bit_1022,0.00029914593
Bit_1781,0.00029821
Bit_280,0.0002982069
Bit_690,0.00029816403
Bit_403,0.0002980485
Bit_617,0.00029769543
Bit_1365,0.00029766408
Bit_284,0.0002960544
Bit_249,0.0002957829
Bit_611,0.00029499832
Bit_362,0.00029484055
Bit_1055,0.00029446176
Bit_1997,0.00029424715
Bit_502,0.00029378093
Bit_1012,0.0002937288
Bit_915,0.00029365625
Bit_1964,0.00029359167
Bit_63,0.00029332968
Bit_671,0.0002932748
Bit_1661,0.00029327197
Bit_972,0.00029308686
Bit_1510,0.00029301885
Bit_1444,0.00029056886
Bit_1989,0.0002900595
Bit_1193,0.0002897119
Bit_1900,0.00028939254
Bit_1441,0.00028845156
Bit_1489,0.00028702876
Bit_963,0.0002865587
Bit_753,0.0002858389
Bit_37,0.00028577627
Bit_187,0.0002833336
Bit_648,0.00028251164
Bit_1755,0.00028217756
Bit_235,0.00028170247
Bit_1534,0.0002803987
Bit_507,0.00028030304
Bit_821,0.0002801384
Bit_139,0.00027996438
Bit_190,0.00027964197
Bit_601,0.00027939526
Bit_494,0.00027905882
Bit_1053,0.00027898472
Bit_543,0.0002780831
Bit_950,0.00027747298
Bit_1920,0.00027630097
Bit_469,0.00027606502
Bit_295,0.00027456885
Bit_592,0.00027431754
Bit_723,0.00027338185
Bit_61,0.00027332935
Bit_1709,0.00027239503
Bit_581,0.00027191653
Bit_155,0.00027186907
Bit_30,0.0002717778
Bit_1684,0.00027000654
Bit_545,0.00026989658
Bit_733,0.00026975852
Bit_463,0.00026895874
Bit_772,0.00026848985
Bit_1089,0.00026695503
Bit_288,0.00026616437
