number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
26,0.7413297283008476,2026-06-16 11:12:27.817423,2026-06-16 11:12:32.206357,0 days 00:00:04.388934,0.8507825449636989,0.03369323676602663,0.005663173628088834,11,4,374,0.577572123501457,0.01043802308893534,0.5353967483167045,COMPLETE
27,0.7653896309713712,2026-06-16 11:12:32.208049,2026-06-16 11:12:35.260930,0 days 00:00:03.052881,0.7027076379887477,0.677532470373376,0.009604915123683867,7,2,519,0.006167218944373933,9.299180109712769e-08,0.606704335849765,COMPLETE
28,0.763341399311447,2026-06-16 11:12:35.264293,2026-06-16 11:12:38.578201,0 days 00:00:03.313908,0.6115666298232888,1.0697902862909328,0.01931809097029051,12,6,989,0.00019637541295041474,3.917533822469308e-05,0.7761039947619935,COMPLETE
29,0.7071891100456055,2026-06-16 11:12:38.580972,2026-06-16 11:12:41.662644,0 days 00:00:03.081672,0.7727258770228637,1.6961357869268028,0.004661808903937649,10,4,323,0.06180184403378517,0.00045394967505416105,0.6561233510962116,COMPLETE
30,0.7536658213820707,2026-06-16 11:12:41.665227,2026-06-16 11:12:43.624694,0 days 00:00:01.959467,0.8189382929112924,2.358952930158975,0.05314686513463996,9,5,730,1.4713696700808142e-07,2.5928342552909586e-07,0.6114804565285454,COMPLETE
31,0.7642586170331145,2026-06-16 11:12:43.627229,2026-06-16 11:12:49.953332,0 days 00:00:06.326103,0.8216967146711645,0.04295749925608296,0.019055343058237962,11,6,983,0.0013508169972350696,6.466153578488207e-06,0.5812173430172005,COMPLETE
32,0.7638211730514293,2026-06-16 11:12:49.956259,2026-06-16 11:12:55.835999,0 days 00:00:05.879740,0.8924932781205346,0.46484639294892804,0.015208793322235487,11,8,1083,2.031083031662757e-05,4.669548607182617,0.5393040470078185,COMPLETE
33,0.7234626862626177,2026-06-16 11:12:55.838859,2026-06-16 11:12:59.293352,0 days 00:00:03.454493,0.7979824257710957,0.013870065872300663,0.18639557450849364,11,6,644,0.004203578459096725,2.156047119116603e-05,0.5829919104107815,COMPLETE
34,0.7514708171142045,2026-06-16 11:12:59.296311,2026-06-16 11:13:01.898520,0 days 00:00:02.602209,0.8259095108351217,0.4021468990797588,0.02459797341105882,3,3,979,0.017313573299525806,1.7853861866775215e-06,0.9589323581290002,COMPLETE
35,0.7629562802731129,2026-06-16 11:13:01.899749,2026-06-16 11:13:04.741084,0 days 00:00:02.841335,0.6937232546404961,0.7474253951918226,0.04327724681949267,12,8,900,0.00027563747178444595,8.383627613599741e-06,0.6230094334891081,COMPLETE
36,0.7730194474735388,2026-06-16 11:13:04.743956,2026-06-16 11:13:08.353736,0 days 00:00:03.609780,0.6613270963290008,0.34831991016055636,0.015421151367837704,10,5,615,6.53912712542694e-06,6.194238984995723e-05,0.5235840127858227,COMPLETE
37,0.7696032473424825,2026-06-16 11:13:08.354984,2026-06-16 11:13:12.122001,0 days 00:00:03.767017,0.6590402985642371,1.0382002746767465,0.008752209936787306,10,2,605,5.47054167831217e-08,0.00012063914348613951,0.5241885056479169,COMPLETE
38,0.7678544575832247,2026-06-16 11:13:12.124791,2026-06-16 11:13:15.352300,0 days 00:00:03.227509,0.6391568776798823,1.074645406884715,0.0093135204530345,7,1,603,7.286253660417925e-08,0.00015318328825234827,0.5034139271081357,COMPLETE
39,0.7732427094042723,2026-06-16 11:13:15.355238,2026-06-16 11:13:16.871983,0 days 00:00:01.516745,0.580915046352707,1.4353623967668843,0.07344841078763001,10,2,506,3.562596745780015e-08,0.001446988237881497,0.5342395972703724,COMPLETE
40,0.7699064421543904,2026-06-16 11:13:16.872554,2026-06-16 11:13:18.661111,0 days 00:00:01.788557,0.5604075752177518,1.5731078718733953,0.08800085487260309,9,2,670,3.186584443198703e-08,0.5658233070141504,0.5308753721335541,COMPLETE
41,0.765764346587851,2026-06-16 11:13:18.663992,2026-06-16 11:13:20.393084,0 days 00:00:01.729092,0.5739852677514882,1.7916666199070033,0.08529732951013179,9,2,654,2.147685726927348e-08,0.8506371430076726,0.527881437680883,COMPLETE
42,0.7529495276489004,2026-06-16 11:13:20.396477,2026-06-16 11:13:21.737891,0 days 00:00:01.341414,0.5771427709348597,2.9125246024889067,0.13658070673614034,8,2,496,3.74328615034201e-08,0.0011090631893978405,0.5497768733685955,COMPLETE
43,0.7711765629784256,2026-06-16 11:13:21.740994,2026-06-16 11:13:23.901954,0 days 00:00:02.160960,0.5837946446245457,1.4736394606264098,0.031024181451682335,10,1,679,5.3915330394107e-07,0.02301209457974664,0.5281871855652672,COMPLETE
44,0.763881548136879,2026-06-16 11:13:23.903324,2026-06-16 11:13:25.522978,0 days 00:00:01.619654,0.5718900387786121,2.106551502572398,0.07864317179472444,10,1,590,7.644040545544335e-07,0.03220905722940847,0.52465042439494,COMPLETE
45,0.766334920689306,2026-06-16 11:13:25.524507,2026-06-16 11:13:27.648781,0 days 00:00:02.124274,0.6493337166994237,1.514675605510636,0.03330412419205912,9,1,666,8.012582732300936e-07,0.19740006180938496,0.529348037004614,COMPLETE
46,0.7665624214832352,2026-06-16 11:13:27.651617,2026-06-16 11:13:29.579791,0 days 00:00:01.928174,0.5532982257862028,1.5546869468139268,0.053893444530069876,10,2,713,2.7666357139054903e-06,0.022497945294005416,0.5003870579307435,COMPLETE
47,0.7572122148710281,2026-06-16 11:13:29.580324,2026-06-16 11:13:30.921910,0 days 00:00:01.341586,0.5935445272851535,1.8738992589727772,0.10361848826309962,7,3,486,6.592742687704641e-08,0.5211221297057776,0.5587283446414434,COMPLETE
48,0.771198935227583,2026-06-16 11:13:30.923033,2026-06-16 11:13:32.905271,0 days 00:00:01.982238,0.5209834452270334,1.365676005072606,0.03697974610862835,8,1,618,3.3110762880381683e-07,0.003227594250754311,0.5986440622904959,COMPLETE
49,0.7654472375610001,2026-06-16 11:13:32.905812,2026-06-16 11:13:34.834089,0 days 00:00:01.928277,0.507367579171963,2.1483650493635036,0.03409306087090307,6,1,693,4.2719727369290463e-07,0.0024214890944093855,0.6379615978098717,COMPLETE
50,0.7607250586343893,2026-06-16 11:13:34.835149,2026-06-16 11:13:36.130000,0 days 00:00:01.294851,0.5308929137040669,2.5446259656429073,0.04197762945604049,8,1,387,1.2714836116219406e-08,0.011181713573313955,0.6083987145148446,COMPLETE
51,0.7635810176629205,2026-06-16 11:13:36.131025,2026-06-16 11:13:37.946437,0 days 00:00:01.815412,0.6785253278450736,1.5024104606749547,0.06342077403835235,9,2,623,8.036951628671862e-08,0.0010280211930467958,0.5214419610218353,COMPLETE
52,0.7708769889869127,2026-06-16 11:13:37.949373,2026-06-16 11:13:40.268779,0 days 00:00:02.319406,0.6363528419781037,1.1705501224737032,0.0229378325786918,10,3,564,7.4800561501390076e-06,0.09382473233882364,0.5512728968724694,COMPLETE
53,0.7701849770249043,2026-06-16 11:13:40.271598,2026-06-16 11:13:42.376386,0 days 00:00:02.104788,0.6300371403079179,1.29723446733923,0.024354717951275414,9,3,550,5.318806303638397e-06,0.1095602289738041,0.5635201521038856,COMPLETE
54,0.7702426419660835,2026-06-16 11:13:42.379215,2026-06-16 11:13:44.412189,0 days 00:00:02.032974,0.5971045083135682,1.28288298645874,0.025560970625765518,8,3,558,7.401274415127279e-06,0.08820779970488817,0.5638900551151395,COMPLETE
55,0.7658897002428326,2026-06-16 11:13:44.414791,2026-06-16 11:13:46.317815,0 days 00:00:01.903024,0.5968589525647875,0.8334996374000841,0.026970141702258463,5,4,561,9.85829361209862e-06,0.04629652563709843,0.5961525488631861,COMPLETE
56,0.7666888044675194,2026-06-16 11:13:46.318785,2026-06-16 11:13:47.835729,0 days 00:00:01.516944,0.5342745298885547,1.9586974626354103,0.04010708452417706,8,3,434,1.7141103217547397e-06,0.009459906513110385,0.5663942818943137,COMPLETE
57,0.7376002444210957,2026-06-16 11:13:47.838630,2026-06-16 11:13:49.677476,0 days 00:00:01.838846,0.5945126590184133,4.732188146572479,0.012579668735411349,6,1,474,4.491167917528317e-07,0.004029973446750497,0.5532798811179869,COMPLETE
58,0.7609345721065794,2026-06-16 11:13:49.679239,2026-06-16 11:13:52.108874,0 days 00:00:02.429635,0.6210943315070769,1.1768891637189878,0.021393865676085675,10,12,517,1.0882923031910298e-05,1.5667946447908314,0.6005574303112633,COMPLETE
59,0.7726172751444662,2026-06-16 11:13:52.111782,2026-06-16 11:13:54.847569,0 days 00:00:02.735787,0.5170342682337118,1.3750395737189554,0.01531724613801955,8,4,754,8.219289717766354e-05,0.24802814420265712,0.545792893999568,COMPLETE
60,0.7679368011696278,2026-06-16 11:13:54.848495,2026-06-16 11:13:58.300016,0 days 00:00:03.451521,0.5218232353976158,0.8892202828520968,0.014206633851003693,7,4,820,2.1981371527896484e-06,7.369406472338556,0.5422655300062813,COMPLETE
61,0.7705533306727788,2026-06-16 11:13:58.301597,2026-06-16 11:14:00.256721,0 days 00:00:01.955124,0.5506988833164403,1.4443242494695823,0.030065716503698343,8,4,574,9.123232773394608e-06,0.25382142536735136,0.5656226414722745,COMPLETE
62,0.7681331542290568,2026-06-16 11:14:00.257253,2026-06-16 11:14:02.489280,0 days 00:00:02.232027,0.5495978971924991,1.7643077679953405,0.03288755947564847,8,4,765,6.511248768587242e-05,0.2618391742353779,0.5085874762676363,COMPLETE
63,0.766560067457289,2026-06-16 11:14:02.491903,2026-06-16 11:14:04.257057,0 days 00:00:01.765154,0.512703958625307,1.4405653054933605,0.0500488249505097,7,5,633,0.00012390000179576422,0.01685724505193523,0.5766822315083152,COMPLETE
64,0.7463515889218645,2026-06-16 11:14:04.258227,2026-06-16 11:14:06.617900,0 days 00:00:02.359673,0.6765580338660329,4.113810039106475,0.016607997070216363,9,4,754,3.6000475788949393e-06,0.26835437672377066,0.5480168812202902,COMPLETE
65,0.7602364726357624,2026-06-16 11:14:06.619065,2026-06-16 11:14:08.739610,0 days 00:00:02.120545,0.5496802937234884,1.4069674469847826,0.021189020140703927,6,11,585,2.7700532390771496e-07,0.0019109072329169029,0.6158467732930394,COMPLETE
66,0.7744562207441343,2026-06-16 11:14:08.742630,2026-06-16 11:14:11.037629,0 days 00:00:02.294999,0.541528590813425,1.1432094418798517,0.02886980233143186,10,3,690,2.200277612243355e-05,0.0004780862405608367,0.5921903134033575,COMPLETE
