Smiles,pChEMBL Value,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,stereo_centers,tpsa,HydrationFreeEnergy_FreeSolv,Solubility_AqSolDB
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCNC(=O)N(C)C4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,6.85,892.2349999999999,8.498000000000008,7,5,16,150.64,-22.997776,-6.833249
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.0,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
CCOc1ccccc1-c1nc(-c2ccc(NC(=O)c3ccc(Br)o3)cc2)no1,4.9,454.2800000000001,5.410100000000003,6,1,0,90.39,-9.307223,-7.169745
COc1ccc(-c2nnc(SCC(=O)c3cc(C)n(Cc4cccs4)c3C)o2)cc1,5.12,439.5620000000002,5.248340000000004,7,0,0,70.15,-8.4724,-5.8080897
CCc1nnc2sc(-c3ccc(NC(=O)c4ccc5c(c4)OCCO5)cc3)nn12,4.49,407.4550000000002,3.4387000000000008,7,1,0,90.64,-15.09609,-5.1201525
O=C(O)CCn1ccnc1-c1ccccc1,4.9,216.24000000000004,2.0248,2,1,0,55.12,-11.725707,-1.7846813
C#C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@@]21C,6.83,326.48000000000013,3.840500000000003,2,2,7,40.46,-10.531306,-4.9972086
C[C@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,7.42,459.58600000000024,5.983500000000006,5,2,3,62.16,-15.701144,-4.243296
CC(=O)c1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,5.47,297.28499999999997,3.654700000000001,4,2,0,70.42,-13.529692,-3.8112984
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,9.22,470.6130000000003,6.331020000000006,4,2,0,57.86,-16.02801,-4.5931783
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.44,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
O=C1c2cc(O)cc(Br)c2C(=O)N1c1ccc(O)cc1,7.44,334125,2.6609000000000007,4,2,0,77.84,-14.051718,-4.0308723
COc1ccc(N2C(=O)c3ccc(O)cc3C2=O)cc1,5.48,269256,2.2013999999999996,4,1,0,66.84,-11.917816,-4.4117174
O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1,7.08,255.22899999999998,1.8983999999999999,4,2,0,77.84,-14.716528,-3.817786
CC/C(=C(\c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,7.37,370.44800000000004,5.859100000000005,2,2,0,57.53,-12.854185,-5.729094
COc1cc2[nH]c(=S)n(CCCC(=O)N3CCN(c4cccc(Cl)c4)CC3)c(=O)c2cc1OC,5.63,503.0240000000002,3.858690000000003,6,1,0,79.8,-16.488037,-5.165957
CCOCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,7.57,340.4190000000001,4.651700000000003,4,2,3,58.92,-12.481516,-3.9745116
COc1ccc2c(c1)C(Br)=C(c1ccc(O)cc1)C2=O,5.75,331.1650000000001,3.8603000000000023,3,1,0,46.53,-10.2025175,-5.531268
Cc1c(-c2ccc3c(c2)OCO3)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,7.16,484.59600000000034,5.964020000000007,5,1,0,56.09,-14.253265,-5.0208397
CC1=CC[C@@]2(CO)COC(c3ccc(O)cc3)[C@@H]1C2,5.5,260.3330000000001,2.7985000000000007,3,2,3,49.69,-11.809572,-2.650846
CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,6.24,314362,3.6211000000000015,5,3,0,77.76,-13.817345,-4.5775247
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.89,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
C/C=C/COC(=O)c1[nH]c2c(c1C)C(=O)CC(c1ccco1)C2,4.61,313353,3.561720000000002,4,1,1,72.30000000000001,-8.784206,-5.3412147
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2c(OCCCCN3CCCCC3)cccc12,7.64,553.7470000000004,6.865400000000006,4,3,1,77.59,-16.080744,-4.7623034
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)n(Cc2ccc(OCCCN3CCCCC3)cc2)c2ccccc12,8.11,629.8450000000003,7.997000000000009,4,2,1,66.72999999999999,-16.306833,-4.9270577
O=C(Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1)c1ccco1,5.63,332.31100000000004,4.272200000000003,5,0,0,69.65,-8.987878,-5.7488623
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.49,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
COC(=O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1,7.22,621.7080000000003,5.4092000000000064,9,3,3,148.46,-20.10002,-5.78953
O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc5ccccc5c4)C2O3)cc1,6.77,641.7420000000003,6.768400000000007,7,3,3,139.22999999999996,-19.353235,-6.017189
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC4(C)CC3C(C)(C)C4)cc2)c2ccc(O)cc12,6.82,510.6780000000003,6.965520000000007,4,2,2,57.86,-15.946619,-5.2454324
C=C(C)[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CC/C=C(\C)C(=O)O)CC[C@@]24C)C[C@]13CCC(=O)O,5.59,484.67700000000036,6.4808000000000066,3,2,10,87.13000000000001,-13.066218,-5.371232
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.97,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,7.21,371524,5.9961000000000055,2,0,0,12.47,-8.089418,-6.5946836
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,9.16,433.4700000000002,5.099900000000004,3,2,2,60.77000000000001,-13.801271,-4.8513117
COC[C@H](C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2C[C@H]1C,7.08,395.4990000000002,4.108500000000003,4,2,3,70.0,-16.666845,-4.0647225
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,7.34,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
NCCOc1ccc(/C(=C(\Cn2cncn2)c2ccccc2)c2ccc(O)cc2)cc1,6.54,412.49300000000005,3.980500000000003,5,2,0,86.19000000000001,-16.784473,-4.404855
NCCOc1ccc(/C(=C2\CCc3ccccc32)c2ccc(O)cc2)cc1,5.5,357453,4.635000000000004,3,2,0,55.480000000000004,-12.377471,-4.752416
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,9.51,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
OC[C@H]1CCC[C@@H](c2ccc(O)cc2)CC1,6.66,220.31199999999998,3.048400000000001,2,2,2,40.46,-9.559006,-2.7435346
O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccccc4)C2O3)cc1,6.95,591.6820000000004,5.615200000000005,7,3,3,139.22999999999996,-18.869848,-5.5687437
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)c(F)c3)ccc2c1,9.7,475.53500000000014,7.147600000000005,4,1,0,41.93,-11.988215,-5.9128556
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.89,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
O=C(NNC(=O)c1ccc(SCC2CCCO2)c([N+](=O)[O-])c1)c1ccc(Cl)c([N+](=O)[O-])c1,4.63,480.8860000000002,3.5023000000000026,8,2,1,153.71000000000004,-16.020962,-5.049374
O=S(=O)(NCc1csc(-c2cccnc2)n1)c1cccs1,4.74,337451,2.7451000000000008,6,1,0,71.95,-11.810102,-3.711228
CCCN(CCC)S(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1,4.78,380.5350000000001,3.740000000000003,4,1,0,66.48,-11.300627,-5.0283785
CCCn1nc(C(=O)OCC(=O)c2ccc3c(c2)NC(=O)CO3)c2ccccc2c1=O,4.42,421.40900000000016,2.1771000000000003,7,1,0,116.59,-13.585249,-5.500744
