Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL198803,,473.59,1.0,6.07,C[C@@H](COc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1)N1CCCC1,IC50,'=',0.2,nM,9.7,20.48,0.39,3.63,13.86,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.2
CHEMBL372808,,456.59,1.0,5.94,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,IC50,'=',0.4,nM,9.4,20.58,0.38,3.46,16.24,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.4
CHEMBL197495,,427.59,1.0,6.12,C[C@@H](COc1ccc([C@@H]2c3ccc(O)cc3CC[C@@H]2c2ccccc2)cc1)N1CCCC1,IC50,'=',0.6,nM,9.22,21.57,0.39,3.1,28.2,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.6
CHEMBL363630,,410.47,1.0,5.46,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(N)=O)cc2)c1-c1ccccc1,Ki,'=',15.85,nM,7.8,19.0,0.34,2.34,9.13,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145207,1,Scientific Literature,J Med Chem,2005.0,,,,,-7.8
CHEMBL122237,,477.63,1.0,6.07,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1,IC50,'=',2.3,nM,8.64,18.09,0.35,2.57,13.9,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148423,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,2.3
CHEMBL206546,,260.22,0.0,2.8,Cc1c(O)ccc2c1c(=O)oc1c(F)c(O)ccc12,IC50,'=',1580.0,nM,5.8,22.29,0.42,3.0,8.21,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,1580.0
CHEMBL206406,,384.02,0.0,4.49,Cc1c(O)ccc2c1oc(=O)c1c(Br)cc(Br)cc12,IC50,'=',597.0,nM,6.22,16.21,0.45,1.73,12.34,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,597.0
CHEMBL370492,,411.46,1.0,6.06,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,Ki,'=',125.89,nM,6.9,16.77,0.3,0.84,8.66,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145207,1,Scientific Literature,J Med Chem,2005.0,,,,,-6.9
CHEMBL380717,,270.28,0.0,3.28,Cc1c(O)ccc2c1oc(=O)c1c(C)c(O)cc(C)c12,IC50,'=',716.0,nM,6.14,22.74,0.42,2.87,8.7,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,716.0
CHEMBL206600,,242.23,0.0,2.67,Cc1c(O)ccc2c1oc(=O)c1cc(O)ccc12,IC50,'=',654.0,nM,6.18,25.53,0.47,3.51,8.75,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,654.0
