y_real,y_pred,erro
8.09,7.959391722971132,-0.1306082770288679
7.82,8.085285155016445,0.26528515501644456
8.4,8.957179668906702,0.5571796689067021
5.53,5.455078692421237,-0.07492130757876314
9.24,9.358379682539686,0.11837968253968612
7.15,6.823473945392155,-0.3265260546078457
5.94,5.915893597371916,-0.02410640262808439
5.3,6.172242778721795,0.8722427787217955
7.25,6.567085522325723,-0.6829144776742773
8.74,8.66868727106629,-0.07131272893371055
7.55,8.284088121383936,0.7340881213839365
7.43,8.492622529305011,1.0626225293050116
6.82,7.768029654195186,0.948029654195186
4.97,5.067084386544828,0.09708438654482787
4.79,5.497042077204017,0.7070420772040169
6.16,6.957990029624709,0.7979900296247084
6.75,7.171641791404606,0.421641791404606
5.4,6.006635117823902,0.6066351178239016
8.7,8.909822191142093,0.20982219114209322
5.05,5.497700027192807,0.4477000271928073
4.41,4.756976447879308,0.3469764478793076
7.29,9.03330263860981,1.7433026386098094
8.37,7.2988943477163755,-1.0711056522836238
5.3,5.099940549422514,-0.20005945057748598
6.59,7.185816235849047,0.5958162358490471
7.65,8.685817222222193,1.0358172222221924
6.8,7.116639185945993,0.31663918594599316
8.89,7.593123426539736,-1.2968765734602643
5.38,5.473491691689507,0.09349169168950677
9.3,7.960165894456545,-1.3398341055434555
6.82,6.519964898003195,-0.30003510199680505
9.3,8.98873771539964,-0.3112622846003603
5.95,5.965658665597274,0.01565866559727347
8.05,7.4346824462307,-0.6153175537693008
4.94,6.049526690313325,1.1095266903133245
9.7,9.278463333333361,-0.421536666666638
6.36,6.374609713347458,0.014609713347457642
8.33,7.689606847953251,-0.640393152046749
5.13,4.79791329347365,-0.33208670652634975
8.48,7.207419472963131,-1.2725805270368697
4.43,5.0822434661117795,0.6522434661117797
5.08,5.353746545551244,0.2737465455512442
7.62,7.346281982883155,-0.2737180171168454
7.89,8.158500553449363,0.2685005534493632
7.64,7.86494341426186,0.22494341426186004
5.77,6.553619703565996,0.7836197035659964
7.82,7.666333371364261,-0.15366662863573932
5.24,6.332496762698867,1.0924967626988664
4.6,5.023847453678292,0.4238474536782926
8.66,8.498978603427233,-0.16102139657276737
5.73,5.5896876676813285,-0.1403123323186719
7.51,8.264615534608703,0.7546155346087033
6.82,7.4819302379374095,0.6619302379374092
9.0,8.831674998113488,-0.16832500188651167
4.78,5.0367442508948095,0.25674425089480923
8.49,8.909822191142093,0.4198221911420923
8.89,8.102751821683125,-0.7872481783168759
8.82,6.699397230363535,-2.1206027696364655
9.1,8.574078707675293,-0.525921292324707
7.62,6.091358393688159,-1.528641606311841
5.33,5.913339707714994,0.5833397077149938
8.4,8.627511216537378,0.22751121653737805
8.7,8.666205000000028,-0.033794999999971154
6.66,6.135067765085257,-0.5249322349147434
6.85,7.737678154851527,0.8876781548515273
4.22,4.861297647382626,0.6412976473826264
5.29,5.9955457186883905,0.7055457186883904
6.98,6.936721151547892,-0.0432788484521085
